TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY
Alejandro,Lady Gaga,dance pop,2010,99,80,-7,274,5,69
Born This Way,Lady Gaga,dance pop,2011,124,83,-5,260,16,73
The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,-6,321,4,67
You And I,Lady Gaga,dance pop,2011,127,70,-5,307,5,64
Judas,Lady Gaga,dance pop,2011,131,93,-4,249,7,63
Marry The Night,Lady Gaga,dance pop,2011,131,88,-4,265,6,61
Applause,Lady Gaga,dance pop,2013,140,78,-4,212,5,52
G.U.Y.,Lady Gaga,dance pop,2014,110,92,-3,233,4,65
Million Reasons,Lady Gaga,dance pop,2016,130,42,-8,205,4,80
Perfect Illusion,Lady Gaga,dance pop,2016,125,86,-5,182,4,67
The Cure,Lady Gaga,dance pop,2017,100,51,-5,211,3,71
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,-7,217,3,80
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,-6,215,6,74
Love,Lana Del Rey,art pop,2017,99,37,-11,273,3,72
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,-9,261,13,67
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,-9,264,6,54
Cannonball,Lea Michele,hollywood,2014,92,82,-3,215,5,37
Someone You Loved,Lewis Capaldi,pop,2019,110,41,-6,182,3,96
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,-5,202,5,69
Familiar,Liam Payne,dance pop,2018,93,81,-5,197,33,72
For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,-5,243,3,67
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,-5,189,3,58
Sheezus,Lily Allen,dance pop,2014,130,50,-7,235,4,37
Move,Little Mix,dance pop,2013,121,74,-5,224,9,63
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,-3,211,48,50
Love Me Like You,Little Mix,dance pop,2015,106,67,-4,198,4,65
Shout Out to My Ex,Little Mix,dance pop,2016,126,75,-4,246,9,77
Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,-4,203,11,59
Truth Hurts,Lizzo,escape room,2019,158,62,-3,173,11,90
