TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,INDEX
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,-4,229,4,46,317
Praying,Kesha,dance pop,2017,73,39,-7,230,3,77,318
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,-9,198,13,84,319
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,-7,221,7,79,320
First Time,Kygo,edm,2017,90,59,-7,194,11,71,321
First Time,Kygo,edm,2018,90,59,-7,194,11,71,322
Higher Love,Kygo,edm,2019,104,68,-7,228,3,88,323
Beneath Your Beautiful,Labrinth,pop,2013,84,52,-6,272,4,70,324
Bad Romance,Lady Gaga,dance pop,2010,119,92,-4,295,4,79,325
Telephone,Lady Gaga,dance pop,2010,122,83,-6,221,4,73,326
Alejandro,Lady Gaga,dance pop,2010,99,80,-7,274,5,69,327
Born This Way,Lady Gaga,dance pop,2011,124,83,-5,260,16,73,328
The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,-6,321,4,67,329
You And I,Lady Gaga,dance pop,2011,127,70,-5,307,5,64,330
Judas,Lady Gaga,dance pop,2011,131,93,-4,249,7,63,331
Marry The Night,Lady Gaga,dance pop,2011,131,88,-4,265,6,61,332
Applause,Lady Gaga,dance pop,2013,140,78,-4,212,5,52,333
G.U.Y.,Lady Gaga,dance pop,2014,110,92,-3,233,4,65,334
Million Reasons,Lady Gaga,dance pop,2016,130,42,-8,205,4,80,335
Perfect Illusion,Lady Gaga,dance pop,2016,125,86,-5,182,4,67,336
The Cure,Lady Gaga,dance pop,2017,100,51,-5,211,3,71,337
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,-7,217,3,80,338
