TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,TITLE-PIE,ARTIST-PIE,GENRE-PIE,YEAR-PIE,BPM-PIE,ENERGY-PIE,dB-PIE,DURATION-PIE,SPEECH-PIE,POPULARITY-PIE
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,-4,191,5,61,Other,Other,Other,Other,130,Other,-4,Other,Other,Other
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,-4,193,15,72,Other,Other,Other,2013,130,Other,-4,Other,Other,Other
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,-4,193,8,54,Other,Other,Other,2013,130,Other,-4,Other,Other,Other
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,-4,243,3,46,Other,Other,Other,2013,130,Other,-4,Other,Other,Other
2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,61,-7,195,6,65,Other,Other,Other,2013,130,Other,-4,Other,Other,Other
Heart Attack,Demi Lovato,dance pop,2013,174,79,-5,211,10,76,Other,Other,Other,2013,130,Other,-4,Other,Other,Other
Made In The USA,Demi Lovato,dance pop,2013,87,86,-4,196,4,60,Other,Other,Other,2013,130,Other,-4,Other,Other,Other
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,-6,226,4,63,Other,Other,Other,2013,130,Other,-4,Other,Other,Other
Really Don't Care,Demi Lovato,dance pop,2015,121,73,-4,202,9,70,Other,Other,dance pop,2013,Other,Other,-4,Other,Other,Other
Confident,Demi Lovato,dance pop,2016,130,75,-6,206,7,75,Other,Other,dance pop,2013,Other,Other,-4,Other,Other,76
Body Say,Demi Lovato,dance pop,2016,87,74,-5,194,4,65,Other,Other,dance pop,2013,Other,Other,-4,Other,Other,76
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,-7,204,23,81,Other,Other,dance pop,2013,Other,Other,-4,Other,Other,76
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,-5,182,8,44,Other,Other,dance pop,2013,Other,Other,-4,Other,Other,76
Latch,Disclosure,house,2014,122,73,-5,256,17,72,Other,Other,dance pop,2013,Other,Other,-4,Other,Other,76
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,-4,289,4,77,Other,Other,dance pop,2013,Other,Other,-4,Other,Other,76
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,-3,204,7,76,Other,Other,dance pop,2013,128,Other,-4,Other,Other,76
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,-5,260,34,70,Other,Other,dance pop,2013,128,Other,-4,Other,Other,76
Let Me Love You,DJ Snake,electronic trap,2017,100,72,-5,206,3,82,Other,Other,dance pop,2013,128,Other,-4,Other,Other,76
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,-4,213,23,77,Other,Other,dance pop,2013,128,Other,-4,Other,Other,76
Cake By The Ocean,DNCE,dance pop,2016,119,75,-5,219,5,81,Other,Other,dance pop,2013,128,Other,-4,Other,Other,76
Toothbrush,DNCE,dance pop,2016,105,79,-6,232,13,72,Other,Other,dance pop,2013,128,Other,-4,Other,Other,76
Blown,DNCE,dance pop,2016,130,95,-5,197,4,48,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
Kissing Strangers,DNCE,dance pop,2017,120,74,-6,202,4,66,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
Body Moves,DNCE,dance pop,2017,102,69,-5,236,4,62,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,-6,202,5,43,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
Kissing Strangers,DNCE,dance pop,2018,120,74,-6,202,4,66,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,-7,228,10,73,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
Too Good,Drake,canadian hip hop,2016,118,65,-8,263,10,74,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
New Rules,Dua Lipa,dance pop,2018,116,70,-6,209,7,84,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
IDGAF,Dua Lipa,dance pop,2018,97,54,-6,218,9,84,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
Want To,Dua Lipa,dance pop,2018,92,69,-5,212,12,67,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
Thinking out Loud,Ed Sheeran,pop,2015,79,45,-6,282,3,84,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
Don't,Ed Sheeran,pop,2015,95,61,-7,220,7,74,Other,Other,dance pop,2013,128,81,-4,Other,Other,76
Sing,Ed Sheeran,pop,2015,120,67,-4,235,5,71,Other,Other,dance pop,2013,128,81,-4,Other,Other,Other
Bloodstream,Ed Sheeran,pop,2015,89,59,-6,309,5,52,Other,Other,dance pop,2013,128,81,-4,Other,Other,Other
Shape of You,Ed Sheeran,pop,2017,96,65,-3,234,8,87,Other,Other,dance pop,2013,128,81,-4,Other,Other,Other
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,95,30,-7,260,3,78,Other,Other,dance pop,2013,128,81,-4,Other,Other,Other
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,-6,204,8,92,Other,Other,dance pop,2013,128,81,-4,Other,Other,Other
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,-8,198,19,86,Other,Other,dance pop,2013,128,81,-4,Other,Other,Other
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,-5,220,4,85,Other,Other,dance pop,2013,128,81,-4,Other,Other,Other
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,-5,162,5,78,Other,Other,dance pop,2013,128,81,-4,Other,Other,Other
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,-6,206,12,75,Other,Other,dance pop,2013,128,81,-4,Other,Other,Other
Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,-6,211,4,65,Other,Other,dance pop,2013,128,81,-5,Other,Other,Other
Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,-4,286,3,52,Other,Other,dance pop,2013,128,81,-5,Other,Other,Other
Burn,Ellie Goulding,dance pop,2014,87,78,-5,231,4,71,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,-7,253,5,79,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
On My Mind,Ellie Goulding,dance pop,2015,155,71,-7,213,5,65,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Next To Me,Emeli Sandé,dance pop,2013,95,80,-5,197,4,60,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Clown,Emeli Sandé,dance pop,2013,130,23,-8,221,4,60,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Hurts,Emeli Sandé,dance pop,2016,106,64,-8,238,3,57,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,-5,263,23,82,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,82,44,-10,304,24,65,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
